FID,sh_date_uploaded,hbname,hbcode,sitecode,sitename,postcode,address,tenure,type,uprn,x,y,fid,camas
pub_hosp.263,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,G612H,Rowanbank Clinic,G21 3UL,"Balornock Road, Glasgow",<Null>,<Null>,9.067E+11,261411,668643,263,81364
pub_hosp.264,31/07/2024,NHS Lanarkshire,S08000032,L103H,Coathill Hospital,ML5 4DN,"Hospital Street, Coatbridge",Owned,<Null>,118117591,273258,663570,264,37314
pub_hosp.265,31/07/2024,NHS Lanarkshire,S08000032,L104H,Victoria Memorial Day Hospital,G65 9AG,"19 Glasgow Road, Kilsyth",Owned,<Null>,118010623,270934,677913,265,18840
pub_hosp.266,31/07/2024,NHS Lanarkshire,S08000032,L105H,Wester Moffat Hospital,ML6 8LW,"Towers Road, Airdrie",Owned,<Null>,118007507,278644,665669,266,20235
pub_hosp.267,31/07/2024,NHS Lanarkshire,S08000032,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",Owned,<Null>,118128016,274962,665442,267,597575
pub_hosp.268,31/07/2024,NHS Lanarkshire,S08000032,L203H,Cleland Hospital,ML1 5NP,"Bellside Road, Motherwell",Owned,<Null>,118046163,280576,658297,268,32940
pub_hosp.269,31/07/2024,NHS Lanarkshire,S08000032,L206H,Kello Hospital,ML12 6AF,"Johns Loan, Biggar",Owned,<Null>,484134566,304351,637599,269,18702
pub_hosp.270,31/07/2024,NHS Lanarkshire,S08000032,L207H,Ladyhome Cottage Hospital,ML11 0RE,"Ayr Road, Douglas",Owned,<Null>,484107945,284094,630932,270,18837
pub_hosp.272,31/07/2024,NHS Lanarkshire,S08000032,L216H,Kirklands Hospital,G71 8BB,"Fallside Road, Bothwell",Owned,<Null>,484056657,270699,659552,272,13176
pub_hosp.273,31/07/2024,NHS Lanarkshire,S08000032,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",PFI however NHSL own the retained site,<Null>,484071346,260669,654066,273,717672
pub_hosp.274,31/07/2024,NHS Lanarkshire,S08000032,L304H,Stonehouse Hospital,ML9 3NT,"Strathaven Road, Stonehouse",Leased,<Null>,484148024,274902,646111,274,43505
pub_hosp.275,31/07/2024,NHS Lanarkshire,S08000032,L305H,Udston Hospital,ML3 9LA,"Farm Road, Hamilton",Owned,<Null>,484024356,269573,655744,275,76839
pub_hosp.276,31/07/2024,NHS Lanarkshire,S08000032,L308H,University Hospital Wishaw,ML2 0DP,"50 Netherton Street, Wishaw",Leased,<Null>,118087313,278294,655081,276,940028
pub_hosp.277,31/07/2024,NHS National Waiting Times Centre,SB0801,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",<Null>,<Null>,129021230,248478,670809,277,290863
pub_hosp.287,31/07/2024,NHS Lothian,S08000024,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",Owned,<Null>,906068839,323004.0078,674998.9558,287,853276
pub_hosp.288,31/07/2024,NHS Lothian,S08000024,S201H,Astley Ainslie Hospital,EH9 2HB,"133 Grange Loan, Edinburgh",Owned,<Null>,906458436,325312.0888,671236.6642,288,69160
pub_hosp.291,31/07/2024,NHS Lothian,S08000024,S209H,Liberton Hospital,EH16 6UB,"113 Lasswade Road, Edinburgh",Owned,<Null>,906462935,327952.0267,669029.0143,291,67640
pub_hosp.292,31/07/2024,NHS Lothian,S08000024,S217H,Royal Edinburgh Hospital,EH10 5HF,"Morningside Place, Edinburgh",Owned,<Null>,906246615,324124.9748,671126.0137,292,366210
pub_hosp.296,31/07/2024,NHS Lothian,S08000024,S306H,Tippethill Hospital,EH48 3BQ,"Armadale Road, Whitburn, West Lothain",PFI/NPD,<Null>,135013176,294511.9821,666131.0026,296,50250
pub_hosp.297,31/07/2024,NHS Lothian,S08000024,S308H,St John's Hospital,EH54 6PP,"Howden Road West, Livingston",Owned,<Null>,135003711,304843.0215,667576.9725,297,572309
pub_hosp.298,31/07/2024,NHS Lothian,S08000024,S318H,Midlothian Community Hospital,EH22 3ND,"70 Eskbank Road, Dalkeith",PFI/NPD,<Null>,120044541,331897.9865,665769.0045,298,88091
pub_hosp.299,31/07/2024,NHS Lothian,S08000024,S320H,East Lothain Community Hospital,EH41 3PF,"East Lothain Community Hospital, Alderson Road, Haddington, East Lothain",HUB,<Null>,138069779,350288.1002,674072.2404,299,161367
pub_hosp.300,31/07/2024,NHS Lothian,S08000024,S313H,Ellens Glen House,EH16 6FF,"72 Carnbee Avenue, Edinburgh",PFI/NPD,<Null>,906045309,328228.0295,669092.9915,300,65880
pub_hosp.301,31/07/2024,NHS Lothian,S08000024,S310H,Ferryfield House,EH5 2HF,"100 Pilton Drive, Edinburgh",PFI/NPD,<Null>,906197839,323336.014,675941.9766,301,65880
pub_hosp.303,31/07/2024,NHS Lothian,S08000024,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",Owned,<Null>,906048392,325251.9747,672986.0457,303,17568
pub_hosp.304,31/07/2024,NHS Lothian,S08000024,S314H,Royal Infirmary of Edinburgh (PFI),EH16 4SA,"51 Little France Crescent, Edinburgh",PFI/NPD,<Null>,906381768,329109.0311,670435.9952,304,1491253
pub_hosp.305,31/07/2024,NHS Lothian,S08000024,S319H,Royal Hospital for Children and Young People & Department for Clinical Neuroscience,EH16 4TJ,"Little France Cresent, Old Dalkeith, Road, Edinburgh",PFI/NPD,<Null>,906496551,328986.0216,670367.9966,305,215955
pub_hosp.306,31/07/2024,NHS Forth Valley,S08000019,V105H,Bo'ness Hospital,EH51 0DH,"102 Dean Rd, Bo'ness West Lothian",<Null>,<Null>,136063086,299452,681026,306,45146
pub_hosp.307,31/07/2024,NHS Lanarkshire,S08000032,L307H,Caird House & Beckford Lodge,ML3 0AZ,"Caird Street, Hamilton",Owned,<Null>,484166610,271420,656258,307,29682
pub_hosp.308,31/07/2024,NHS Lothian,S08000024,S315H,Findlay House,EH6 7LG,"5 Seafield Street, Edinburgh",PFI/NPD,<Null>,906477990,328659.9917,675606.0552,308,67252
