FID,sh_date_uploaded,hbname,hbcode,sitecode,sitename,postcode,address,tenure,type,uprn,x,y,fid,camas
pub_hosp.143,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,C204H,Dumbarton Joint Hospital,G82 5JA,"Cardross Road, Dumbarton",Owned,Older People Hospital,129043781,238067,675883,143,9882
pub_hosp.144,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,C206H,Vale of Leven Hospital,G83 0UA,"North Main Street, Alexandria",Owned,Acute Hospital,129023226,238443,680799,144,145279
pub_hosp.145,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",Owned,Acute Hospital,119000391,224658,675892,145,446105
pub_hosp.147,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,C403H,Dykebar Hospital,PA2 7DE,"Grahamston Road, Paisley",Owned,Mental Health Hospital,123053298,249902,661516,147,85035
pub_hosp.152,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,C418H,Royal Alexandra Hospital,PA2 9PN,"Corsebar Road, Paisley",Owned,Acute Hospital,123044731,247424,662909,152,962475
pub_hosp.153,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,C420H,Blytheswood House,PA4 8NT,"4 Fulbar Lane, Renfrew",Owned,Mental Health Hospital,123079509,250674,667899,153,17568
pub_hosp.159,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,G107H,Glasgow Royal Infirmary,G4 0SF,"84 Castle Street, Glasgow",Owned,Acute Hospital,9.067E+11,260185,665688,159,1377658
pub_hosp.160,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,G109H,Lightburn Hospital,G32 6ND,"966 Carntyne Road, Glasgow",Owned,Older People Hospital,9.067E+11,264560,665171,160,87343
pub_hosp.164,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",Owned,Mental Health Hospital,9.067E+11,261277,668868,164,314581
pub_hosp.166,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,G302H,Leverndale Hospital,G53 7TU,"510 Crookston Road, Glasgow",Owned,Mental Health Hospital,9.067E+11,251890,662768,166,273830
pub_hosp.169,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",Owned,Acute Hospital,9.067E+11,253769,665746,169,2276351
pub_hosp.173,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,G505H,Gartnavel Royal Hospital,G12 0XH,"1055 Great Western Road, Glasgow",Owned,Mental Health Hospital,9.067E+11,255029,668035,173,238280
pub_hosp.176,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,G513H,Queen Elizabeth University Hospital - Children's Hospital,G51 4TF,"1345 Govan Road, Glasgow",Owned,Childrens Hospital,9.067E+11,253769,665746,176,314202
pub_hosp.178,31/07/2024,NHS Greater Glasgow and Clyde,S08000031,G516H,Gartnavel General Hospital,G12 0YN,"1053 Great Western Road, Glasgow",Owned,Acute Hospital,9.067E+11,255434,667982,178,549134
pub_hosp.202,31/07/2024,NHS Grampian,S08000020,N101H,Aberdeen Royal Infirmary,AB25 2ZB,"Foresterhill, Aberdeen",Owned,Acute Hospital,9051035526,391863,807131,202,1013340
pub_hosp.203,31/07/2024,NHS Grampian,S08000020,N102H,Woodend Hospital,AB15 6JG,"Eday Road, Aberdeen",Owned,Acute Hospital,9051009663,389609,806408,203,201681
pub_hosp.206,31/07/2024,NHS Grampian,S08000020,N121H,Royal Aberdeen Childrens Hospital,AB25 2ZB,"Foresterhill, Aberdeen",Owned,Childrens Hospital,9051049219,391892,807007,206,65529
